,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.41569767441860467,0.08139090561711884,0.24661246612466126,0.13423423423423422,0.24790034872012826,0.20894294668426966
recall,0.4965277777777778,0.38656987295825773,0.3192982456140351,0.39768683274021355,0.40079863211669026,0.39768683274021355
f1-score,0.4525316455696203,0.134469696969697,0.27828746177370034,0.20071845532105972,0.28842960143767254,0.2524322451600162
support,288.0,551.0,285.0,1124.0,1124.0,1124.0
