,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.5915492957746479,0.4548076923076923,0.875886524822695,0.5560640732265446,0.6407478376350118,0.5965557407180325
recall,0.84,0.8553345388788427,0.8636363636363636,0.8533801580333626,0.8529903008384022,0.8533801580333626
f1-score,0.6942148760330579,0.5938480853735091,0.8697183098591549,0.6733633529615517,0.7192604237552406,0.6895538987192152
support,300.0,553.0,286.0,1139.0,1139.0,1139.0
