,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.5653153153153153,0.462,0.8633333333333333,0.5573394495412844,0.6302162162162163,0.5899858893133695
recall,0.8366666666666667,0.8354430379746836,0.9055944055944056,0.8533801580333626,0.8592347034119187,0.8533801580333626
f1-score,0.6747311827956989,0.5949774629748873,0.8839590443686007,0.6742976066597295,0.7178892300463957,0.6885462498272539
support,300.0,553.0,286.0,1139.0,1139.0,1139.0
