,Seed,Learning Rate,Batch Size,Val CE,Val Accuracy,Val F1,Test CE,Test Accuracy,Test F1,Fine Tuning Time(m),Test Labeling Time(m),classification_report
0,78516,0.0001,8,1.918849393141036,0.9414581704456607,0.9487870500347837,2.8844637277777547,0.9260572882532094,0.9408975965865778,2.1833812554677325,0.05072614749272664,"              precision    recall  f1-score   support

         LOC     0.5430    0.6733    0.6012       300
         ORG     0.2775    0.7613    0.4068       553
         PER     0.7952    0.8147    0.8048       286

   micro avg     0.3923    0.7515    0.5155      1139
   macro avg     0.5386    0.7498    0.6043      1139
weighted avg     0.4774    0.7515    0.5579      1139
"
0,78516,1e-05,32,5.774959011719777,0.9471266614542612,0.9525280416858553,8.232839588733281,0.9407070434480898,0.9501724646484032,1.7837324778238932,0.04296415249506633,"              precision    recall  f1-score   support

         LOC     0.4641    0.7967    0.5865       300
         ORG     0.3500    0.7993    0.4868       553
         PER     0.7731    0.9056    0.8341       286

   micro avg     0.4449    0.8253    0.5781      1139
   macro avg     0.5291    0.8338    0.6358      1139
weighted avg     0.4863    0.8253    0.6003      1139
"
0,78516,1e-05,16,3.6796077380959806,0.9555316653635653,0.9595064515474403,4.216395952684038,0.9470681213616562,0.9548362599402958,1.8908204793930055,0.04695446491241455,"              precision    recall  f1-score   support

         LOC     0.4911    0.8233    0.6152       300
         ORG     0.3820    0.8228    0.5218       553
         PER     0.7870    0.8916    0.8361       286

   micro avg     0.4742    0.8402    0.6063      1139
   macro avg     0.5534    0.8459    0.6577      1139
weighted avg     0.5124    0.8402    0.6253      1139
"
0,78516,1e-05,8,1.5392259919431572,0.9696051602814699,0.9715861753908032,2.669982201209361,0.9603685569991133,0.9651427692079041,2.2145508766174316,0.05105234781901042,"              precision    recall  f1-score   support

         LOC     0.5915    0.8400    0.6942       300
         ORG     0.4548    0.8553    0.5938       553
         PER     0.8759    0.8636    0.8697       286

   micro avg     0.5561    0.8534    0.6734      1139
   macro avg     0.6407    0.8530    0.7193      1139
weighted avg     0.5966    0.8534    0.6896      1139
"
0,78516,1e-06,32,24.59601224385775,0.1164972634870993,0.11010630041079442,28.606703589944278,0.09495354485523728,0.10232853207775054,1.7549411455790203,0.0437573512395223,"              precision    recall  f1-score   support

         LOC     0.0497    0.4467    0.0895       300
         ORG     0.0104    0.2893    0.0202       553
         PER     0.0439    0.0979    0.0606       286

   micro avg     0.0173    0.2827    0.0325      1139
   macro avg     0.0347    0.2780    0.0568      1139
weighted avg     0.0292    0.2827    0.0486      1139
"
0,78516,1e-06,16,7.4448288426949425,0.5927482408131353,0.6821651560310777,9.459580055054497,0.6115116234241875,0.7133784720920967,1.9041782816251118,0.04779855410257975,"              precision    recall  f1-score   support

         LOC     0.0815    0.5933    0.1433       300
         ORG     0.0402    0.3978    0.0730       553
         PER     0.1243    0.3671    0.1857       286

   micro avg     0.0591    0.4416    0.1043      1139
   macro avg     0.0820    0.4528    0.1340      1139
weighted avg     0.0722    0.4416    0.1198      1139
"
0,78516,1e-06,8,2.449704836980969,0.8547693510555121,0.8815047956210438,3.2129550844430925,0.8612128455221867,0.8939084035935636,2.2372746388117473,0.05126260121663411,"              precision    recall  f1-score   support

         LOC     0.2536    0.6500    0.3648       300
         ORG     0.1487    0.5949    0.2379       553
         PER     0.4758    0.7552    0.5838       286

   micro avg     0.2154    0.6497    0.3235      1139
   macro avg     0.2927    0.6667    0.3955      1139
weighted avg     0.2584    0.6497    0.3582      1139
"
0,944601,0.0001,32,8.603485548725494,0.9611024237685692,0.9640983664031653,9.782185871373205,0.9493426886155981,0.9570372397180619,1.7566152969996134,0.04293038050333659,"              precision    recall  f1-score   support

         LOC     0.5467    0.8000    0.6495       300
         ORG     0.3791    0.7939    0.5132       553
         PER     0.8675    0.9161    0.8912       286

   micro avg     0.4955    0.8262    0.6195      1139
   macro avg     0.5978    0.8366    0.6846      1139
weighted avg     0.5459    0.8262    0.6440      1139
"
0,944601,0.0001,16,6.226630310886181,0.9637412040656763,0.9665834449770627,6.64025162910933,0.9549712787694206,0.9609014471374202,1.8872014204661052,0.046909149487813315,"              precision    recall  f1-score   support

         LOC     0.5917    0.8067    0.6827       300
         ORG     0.3950    0.8300    0.5353       553
         PER     0.8101    0.8951    0.8505       286

   micro avg     0.5072    0.8402    0.6325      1139
   macro avg     0.5989    0.8439    0.6895      1139
weighted avg     0.5510    0.8402    0.6532      1139
"
0,944601,0.0001,8,2.5960824049680546,0.9514268960125097,0.9564556081090914,3.5861860996181214,0.939781795751571,0.9499609662308612,2.197730016708374,0.05081382195154826,"              precision    recall  f1-score   support

         LOC     0.5703    0.7167    0.6352       300
         ORG     0.3164    0.7667    0.4480       553
         PER     0.8100    0.7902    0.8000       286

   micro avg     0.4334    0.7594    0.5518      1139
   macro avg     0.5656    0.7579    0.6277      1139
weighted avg     0.5072    0.7594    0.5857      1139
"
0,944601,1e-05,32,6.003658917087775,0.9413604378420641,0.9481919091189437,7.976094038170927,0.9371988125987895,0.9474603163787378,1.7699390729268392,0.042977094650268555,"              precision    recall  f1-score   support

         LOC     0.4136    0.7900    0.5430       300
         ORG     0.3501    0.8174    0.4902       553
         PER     0.7647    0.9091    0.8307       286

   micro avg     0.4306    0.8332    0.5678      1139
   macro avg     0.5095    0.8388    0.6213      1139
weighted avg     0.4709    0.8332    0.5896      1139
"
0,944601,1e-05,16,3.624519714154303,0.9594409695074276,0.962621707915785,4.166738932404448,0.9526967115154786,0.9590246955105398,1.8915931860605875,0.04732824563980102,"              precision    recall  f1-score   support

         LOC     0.4885    0.8467    0.6195       300
         ORG     0.4315    0.8264    0.5670       553
         PER     0.8254    0.9091    0.8652       286

   micro avg     0.5127    0.8525    0.6403      1139
   macro avg     0.5818    0.8607    0.6839      1139
weighted avg     0.5454    0.8525    0.6557      1139
"
0,944601,1e-05,8,1.8176285384186344,0.9704847537138389,0.9723695010321075,2.310363658172665,0.9600986930876286,0.9649865172473129,2.2164289196332296,0.050809999306996666,"              precision    recall  f1-score   support

         LOC     0.5653    0.8367    0.6747       300
         ORG     0.4620    0.8354    0.5950       553
         PER     0.8633    0.9056    0.8840       286

   micro avg     0.5573    0.8534    0.6743      1139
   macro avg     0.6302    0.8592    0.7179      1139
weighted avg     0.5900    0.8534    0.6885      1139
"
0,944601,1e-06,32,22.825929550024178,0.21940969507427677,0.2752490906123548,26.78792340264601,0.23408766721924515,0.3180308105461155,1.771774959564209,0.04359680414199829,"              precision    recall  f1-score   support

         LOC     0.0694    0.4833    0.1214       300
         ORG     0.0216    0.4937    0.0415       553
         PER     0.0164    0.1259    0.0290       286

   micro avg     0.0269    0.3986    0.0503      1139
   macro avg     0.0358    0.3676    0.0640      1139
weighted avg     0.0329    0.3986    0.0594      1139
"
0,944601,1e-06,16,6.680300287329233,0.7099296325254105,0.7759929577687067,8.446785740992603,0.7361501985427349,0.8072752691172143,1.9063303589820861,0.0477803905804952,"              precision    recall  f1-score   support

         LOC     0.1565    0.6100    0.2491       300
         ORG     0.0753    0.5353    0.1320       553
         PER     0.1961    0.5909    0.2944       286

   micro avg     0.1087    0.5689    0.1825      1139
   macro avg     0.1426    0.5787    0.2252      1139
weighted avg     0.1270    0.5689    0.2036      1139
"
0,944601,1e-06,8,2.3107341209463046,0.8623924941360438,0.8867683985145293,2.865676674798683,0.875091560969968,0.902708056079219,2.227261265118917,0.05116903384526571,"              precision    recall  f1-score   support

         LOC     0.2703    0.6433    0.3807       300
         ORG     0.1745    0.6438    0.2746       553
         PER     0.4813    0.8077    0.6031       286

   micro avg     0.2412    0.6848    0.3567      1139
   macro avg     0.3087    0.6983    0.4195      1139
weighted avg     0.2768    0.6848    0.3850      1139
"
