,LOC,ORG,PER,micro avg,macro avg,weighted avg
precision,0.5253456221198156,0.4221198156682028,0.7638483965014577,0.5091299677765844,0.5704379447631588,0.5351155277435274
recall,0.76,0.8282097649186256,0.916083916083916,0.8323090430201932,0.8347645603341807,0.8323090430201932
f1-score,0.6212534059945504,0.5592185592185592,0.8330683624801273,0.631789403532156,0.671180109231079,0.64432083996097
support,300.0,553.0,286.0,1139.0,1139.0,1139.0
